"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","colour","quality"
"1324",6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,0,1
"1325",7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,0,1
"1326",9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,0,0
"1327",7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,0,1
"1328",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,0,0
"1329",7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,0,1
"1330",8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,0,1
"1331",7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,0,1
"1332",6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,0,1
"1333",8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,1,0
"1334",7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,0,0
"1335",6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,0,1
"1336",6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3,0,1
"1337",7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,0,0
"1338",5.8,0.27,0.22,12.7,0.058,42,206,0.9946,3.32,0.38,12.3,0,1
"1339",7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,0,1
"1340",6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,0,0
"1341",7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,0,0
"1342",6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,0,1
"1343",6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,0,1
"1344",6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,0,1
"1345",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,1,0
"1346",6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,0,0
"1347",9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,0,0
"1348",5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,0,1
"1349",6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,0,1
"1350",6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,0,1
"1351",10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,1,0
"1352",8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,0,1
"1353",9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,0,0
"1354",4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,0,1
"1355",6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,0,1
"1356",5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,0,1
"1357",6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,0,1
"1358",8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,1,1
"1359",6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,0,1
"1360",8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,0,1
"1361",7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,0,1
"1362",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,1,1
"1363",8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,0,1
"1364",6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,1,1
"1365",5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,0,1
"1366",5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,0,1
"1367",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,1,0
"1368",6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,0,1
"1369",6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,0,1
"1370",6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,0,1
"1371",5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,0,1
"1372",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,1,0
"1373",7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,1,0
"1374",4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,0,1
"1375",6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,0,1
"1376",7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,0,1
"1377",7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,0,1
"1378",7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,0,0
"1379",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,0,0
"1380",5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,0,1
"1381",6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,0,0
"1382",6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,1,0
"1383",6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,0,1
"1384",6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,0,1
"1385",7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,0,1
"1386",8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,1,1
"1387",8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,1,0
"1388",7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,1,1
"1389",7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,0,1
"1390",7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,0,1
"1391",12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,1,1
"1392",6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,0,0
"1393",4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,0,0
"1394",6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,0,0
"1395",7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,0,1
"1396",6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,0,0
"1397",8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,0,1
"1398",9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,0,1
"1399",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,1,1
"1400",7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,0,1
"1401",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,1,1
"1402",5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,0,1
"1403",8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,0,1
"1404",6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,0,0
"1405",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,1,0
"1406",7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,0,0
"1407",7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,0,1
"1408",7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,0,1
"1409",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,1,1
"1410",7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,1,0
"1411",7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,1,1
"1412",6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,0,1
"1413",6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,1,0
"1414",6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,0,0
"1415",6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,0,1
"1416",6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,0,1
"1417",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,0,0
"1418",8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,0,0
"1419",6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,0,1
"1420",6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,0,1
"1421",6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,0,1
"1422",6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,0,1
"1423",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,0,0
"1424",6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,0,0
"1425",6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,0,0
"1426",7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,0,1
"1427",7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,1,0
"1428",7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,1,1
"1429",7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,0,1
"1430",7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,0,0
"1431",7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,1,0
"1432",8,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,0,1
"1433",8,0.23,0.28,2.7,0.048,49,165,0.9952,3.26,0.72,9.5,0,1
"1434",7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,0,0
"1435",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,0,0
"1436",7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,0,1
"1437",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,1,1
"1438",7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,0,1
"1439",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,0,1
"1440",6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,0,0
"1441",8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,0,0
"1442",6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,0,1
"1443",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,0,1
"1444",5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,0,1
"1445",6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,0,1
"1446",7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,0,0
"1447",7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,0,0
"1448",6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,0,1
"1449",6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,0,0
"1450",6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,0,1
"1451",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,1,1
"1452",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,1,0
"1453",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,0,1
"1454",10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,1,1
"1455",7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,0,1
"1456",7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,0,1
"1457",5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,0,1
"1458",6.4,0.17,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,0,1
"1459",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,1,0
"1460",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,0,0
"1461",6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,0,1
"1462",7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,0,1
"1463",7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,0,1
"1464",8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,0,1
"1465",8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,1,0
"1466",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,0,1
"1467",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,0,1
"1468",6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,0,1
"1469",6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,1,0
"1470",7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,0,1
"1471",6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,0,1
"1472",7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,0,1
"1473",6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,0,1
"1474",6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,0,1
"1475",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,1,1
"1476",7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,0,1
"1477",6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,0,1
"1478",8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,0,1
"1479",6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,0,1
"1480",6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,0,1
"1481",8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,1,0
"1482",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,1,1
"1483",7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,1,0
"1484",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,0,1
"1485",7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,0,1
"1486",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,0,1
"1487",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,0,1
"1488",8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,0,0
"1489",7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,1,0
"1490",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,1,1
"1491",7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,0,0
"1492",6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,0,1
"1493",6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,0,0
"1494",6.4,0.26,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,0,1
"1495",6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,0,1
"1496",6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,0,1
"1497",6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,0,1
"1498",6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,0,0
"1499",6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,0,1
"1500",7,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,0,1
"1501",7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,0,1
"1502",10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,1,0
"1503",9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,1,1
"1504",6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,0,0
"1505",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,0,1
"1506",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,0,1
"1507",6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,0,1
"1508",4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,0,1
"1509",5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,0,1
"1510",7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,0,1
"1511",6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,1,1
"1512",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,0,0
"1513",5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,1,1
"1514",5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,0,1
"1515",7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,0,1
"1516",7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,0,1
"1517",7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,0,1
"1518",5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,0,1
"1519",6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,0,0
"1520",7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,1,1
"1521",6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,0,1
"1522",6.1,0.32,0.33,10.7,0.036,27,98,0.99521,3.34,0.52,10.2,0,1
"1523",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,1,0
"1524",6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,0,0
"1525",8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,0,1
"1526",8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,1,0
"1527",6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,0,1
"1528",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,1,1
"1529",8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,0,1
"1530",6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,0,1
"1531",7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,0,1
"1532",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,1,0
"1533",10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,1,1
"1534",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,1,1
"1535",7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,0,1
"1536",8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,0,1
"1537",6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,0,1
"1538",7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,0,1
"1539",6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,0,0
"1540",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,1,0
"1541",6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,1,1
"1542",6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,0,1
"1543",7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,1,1
"1544",5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,0,1
"1545",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,1,1
"1546",6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,0,1
"1547",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,1,1
"1548",7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,0,1
"1549",7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,0,0
"1550",6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,0,1
"1551",7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,0,1
"1552",8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,1,1
"1553",7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,0,1
"1554",7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,0,1
"1555",6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,0,1
"1556",8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,0,1
"1557",6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,1,0
"1558",6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,0,1
"1559",6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,0,1
"1560",6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,0,1
"1561",7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,0,0
"1562",6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,0,0
"1563",7.5,0.26,0.25,1.7,0.038,29,129,0.99312,3.45,0.56,10.4,0,1
"1564",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,1,1
"1565",7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,1,1
"1566",5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,1,0
"1567",6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,0,1
"1568",12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,1,1
"1569",6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,0,0
"1570",6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,0,1
"1571",8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,0,1
"1572",7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,0,0
"1573",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,1,0
"1574",7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,1,1
"1575",7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,0,1
"1576",9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,0,1
"1577",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,0,0
"1578",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,1,0
"1579",6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,0,0
"1580",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,1,1
"1581",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,1,0
"1582",6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,0,0
"1583",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,0,1
"1584",9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,1,1
"1585",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,1,1
"1586",6.6,0.26,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,0,1
"1587",6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,0,1
"1588",5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,0,0
"1589",7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,1,0
"1590",5.8,0.3,0.09,6.3,0.042,36,138,0.99382,3.15,0.48,9.7,0,0
"1591",4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,0,1
"1592",5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,0,1
"1593",6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,0,0
"1594",8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,0,0
"1595",7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,0,1
"1596",6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,0,1
"1597",6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,0,0
"1598",7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,1,0
"1599",6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,0,1
"1600",6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,0,1
"1601",8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,0,0
"1602",7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,1,0
"1603",6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,0,1
"1604",7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,0,1
"1605",8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,1,0
"1606",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,0,1
"1607",6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,0,0
"1608",7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,0,0
"1609",7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,1,1
"1610",7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,1,1
"1611",5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,0,1
